15	10	E	-6210697.7521561915	200
emissionprobs	7	5	H3k4me2	0	0.11808038689970259
emissionprobs	7	5	H3k4me2	1	0.8819196131002974
emissionprobs	7	6	H3k4me3	0	0.4394453762556575
emissionprobs	7	6	H3k4me3	1	0.5605546237443425
emissionprobs	7	7	H3k79me2	0	0.07870091655271864
emissionprobs	7	7	H3k79me2	1	0.9212990834472814
emissionprobs	7	8	H3k9ac	0	0.8507676264971636
emissionprobs	7	8	H3k9ac	1	0.1492323735028364
emissionprobs	7	9	H4k20me1	0	0.8278980541044653
emissionprobs	7	9	H4k20me1	1	0.17210194589553474
emissionprobs	8	0	H3k09me3	0	0.9862931842917105
emissionprobs	8	0	H3k09me3	1	0.01370681570828952
emissionprobs	8	1	H3k27ac	0	0.979609222047975
emissionprobs	8	1	H3k27ac	1	0.020390777952025027
emissionprobs	8	2	H3k27me3	0	0.9980863895977006
emissionprobs	8	2	H3k27me3	1	0.0019136104022995073
emissionprobs	8	3	H3k36me3	0	0.9582972210573978
emissionprobs	8	3	H3k36me3	1	0.04170277894260217
emissionprobs	8	4	H3k4me1	0	0.9576989444214465
emissionprobs	8	4	H3k4me1	1	0.04230105557855345
emissionprobs	8	5	H3k4me2	0	0.982440717489948
emissionprobs	8	5	H3k4me2	1	0.017559282510052034
emissionprobs	8	6	H3k4me3	0	0.9981710507498732
emissionprobs	8	6	H3k4me3	1	0.0018289492501267735
emissionprobs	8	7	H3k79me2	0	0.12219006180721395
emissionprobs	8	7	H3k79me2	1	0.877809938192786
emissionprobs	8	8	H3k9ac	0	0.9952106022057604
emissionprobs	8	8	H3k9ac	1	0.00478939779423953
emissionprobs	8	9	H4k20me1	0	0.9024223105928976
emissionprobs	8	9	H4k20me1	1	0.09757768940710232
emissionprobs	9	0	H3k09me3	0	0.9893917653771007
emissionprobs	9	0	H3k09me3	1	0.010608234622899325
emissionprobs	9	1	H3k27ac	0	0.9907642404657635
emissionprobs	9	1	H3k27ac	1	0.009235759534236488
emissionprobs	9	2	H3k27me3	0	0.9983581091368483
emissionprobs	9	2	H3k27me3	1	0.0016418908631517354
emissionprobs	9	3	H3k36me3	0	0.9906886242033404
emissionprobs	9	3	H3k36me3	1	0.009311375796659584
emissionprobs	9	4	H3k4me1	0	0.9859060004737936
emissionprobs	9	4	H3k4me1	1	0.014093999526206439
emissionprobs	9	5	H3k4me2	0	0.9964400494755412
emissionprobs	9	5	H3k4me2	1	0.0035599505244587387
emissionprobs	9	6	H3k4me3	0	0.9993603619513319
emissionprobs	9	6	H3k4me3	1	6.396380486680691E-4
emissionprobs	9	7	H3k79me2	0	0.7459665228189665
emissionprobs	9	7	H3k79me2	1	0.2540334771810335
emissionprobs	9	8	H3k9ac	0	0.9980226901527781
emissionprobs	9	8	H3k9ac	1	0.001977309847221979
emissionprobs	9	9	H4k20me1	0	0.9737179649569163
emissionprobs	9	9	H4k20me1	1	0.02628203504308358
emissionprobs	10	0	H3k09me3	0	0.9942969278054421
emissionprobs	10	0	H3k09me3	1	0.005703072194557839
emissionprobs	10	1	H3k27ac	0	0.9936750899359912
emissionprobs	10	1	H3k27ac	1	0.0063249100640088455
